Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,Pos-Summary,Name-additional
332,Edwin Díaz,30,NYM,NL,55,0,0,53.2,5,1,3,1,0,.800,,,-5,-19,0,0.67,0.07,P,diazed04
333,Elias Díaz,33,TOT,NL,80,70,62,604.1,500,467,29,4,1,.992,-1,-2,5,9,-2,7.39,6.28,C,diazel01
334,Jhonathan Díaz,27,SEA,AL,5,1,0,9.2,3,1,2,0,0,1.000,,,0,0,0,2.79,0.60,P,diazjh01
335,Miguel Díaz,29,HOU,AL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,diazmi02
336,Yainer Diaz,25,HOU,AL,112,110,106,982.0,1037,991,41,5,13,.995,0,0,-7,-9,1,9.46,9.13,C-1B,diazya02
337,Yandy Díaz,32,TBR,AL,112,110,95,956.1,838,784,45,9,67,.989,-3,-3,-5,-6,-1,7.80,7.40,1B,diazya01
338,Yilber Diaz,23,ARI,NL,7,4,0,28.1,2,0,1,1,0,.500,,,0,0,0,0.32,0.14,P,diazyi01
339,Jake Diekman,37,NYM,NL,43,0,0,32.0,9,4,3,2,0,.778,,,-1,-6,0,1.97,0.16,P,diekmja01
340,Dillon Dingler,25,DET,AL,27,24,21,213.2,176,168,7,1,0,.994,0,-2,0,0,1,7.37,6.48,C,dingldi01
341,Randy Dobnak,29,MIN,AL,5,0,0,9.2,1,0,1,0,0,1.000,,,0,0,0,0.93,0.20,P,dobnara01
342,Dylan Dodd,26,ATL,NL,1,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P,dodddy01
343,Jasson Domínguez,21,NYY,AL,16,16,13,140.0,31,28,2,1,0,.968,-4,-33,-2,-17,0,1.93,1.88,OF,dominja01
344,Seranthony Domínguez,29,TOT,ZZ,63,0,0,58.2,11,6,5,0,0,1.000,,,-1,-20,0,1.69,0.17,P,dominse01
345,Brendan Donovan,27,STL,NL,148,145,121,1292.0,394,242,150,2,28,.995,-3,-2,0,0,-1,2.73,2.35,OF-2B-3B,donovbr01
346,Camilo Doval,26,SFG,NL,62,0,0,59.0,15,7,6,2,2,.867,,,-2,-7,0,1.98,0.21,P,dovalca01
347,Brenton Doyle,26,COL,NL,146,142,138,1242.2,438,426,8,4,3,.991,17,16,11,10,1,3.14,2.97,OF,doylebr02
348,Logan Driscoll,26,TBR,AL,15,11,7,93.0,107,100,6,1,0,.991,1,6,2,26,0,10.26,7.07,C,drisclo01
349,Brandon Drury,31,LAA,AL,80,74,64,656.2,346,174,167,5,48,.986,4,8,-4,-7,0,4.67,3.97,2B-3B-1B,drurybr01
350,Daniel Duarte,27,MIN,AL,2,0,0,4.0,1,1,0,0,0,1.000,,,0,0,0,2.25,0.50,P,duartda01
351,Shawn Dubin,28,HOU,AL,31,2,0,45.1,6,5,1,0,0,1.000,,,0,0,0,1.19,0.19,P,dubinsh01
