Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,num,Thr,Opp-Starter-GmeSc
133,133,Aug 28,@,CIN,W9-6,39,36,9,13,2,0,4,9,1,0,10,0,0,2,0,1,3,0,.232,.304,.394,.698,3,9,R,F.Cruz(57)
134,134,Aug 29,@,CIN,L9-10,43,40,9,14,3,0,4,9,3,0,6,0,0,0,0,1,0,0,.233,.305,.397,.702,7,9,R,J.Aguiar(18)
135,135,Aug 30,@,TEX,W9-2,42,39,9,11,2,0,4,9,2,0,8,1,0,0,1,0,1,0,.233,.305,.399,.704,6,9,R,J.Gray(45)
136,136,Aug 31,@,TEX,L2-3,33,32,2,5,2,0,1,2,1,0,10,0,0,0,0,0,1,0,.233,.304,.399,.703,4,11,L,C.Bradford(69)
137,137,Sep 1,@,TEX,L4-6,44,42,4,16,4,1,0,4,2,0,7,0,0,0,0,2,2,1,.234,.305,.400,.705,11,12,L,W.Pennington(52)
138,138,Sep 2,,SEA,W5-4,31,29,5,5,3,0,2,5,2,0,12,0,0,0,0,0,0,0,.234,.305,.400,.705,2,9,R,L.Gilbert(56)
139,139,Sep 3,,SEA,W3-2,32,30,3,6,0,0,2,3,2,0,8,0,0,0,0,0,0,0,.233,.304,.400,.704,4,9,R,L.Castillo(65)
140,140,Sep 4,,SEA,L3-16,34,33,3,7,4,0,0,3,1,0,14,0,0,0,0,0,0,1,.233,.304,.400,.704,4,14,R,G.Kirby(61)
141,141,Sep 5,,SEA,L4-6,39,36,4,10,0,0,2,4,2,0,11,0,0,1,0,0,0,0,.234,.304,.400,.704,8,9,R,B.Woo(49)
142,142,Sep 6,,DET,W7-6,51,49,7,15,2,1,1,7,1,0,12,0,0,1,0,1,1,0,.234,.304,.401,.705,11,12,L,T.Skubal(50)
143,143,Sep 7,,DET,L1-2,34,33,1,6,1,0,0,1,1,0,6,0,0,0,1,1,1,0,.234,.303,.399,.703,6,13,R,B.Hanifee(51)
144,144,Sep 8,,DET,L1-9,38,34,1,8,1,0,0,1,3,0,11,1,0,0,0,1,2,0,.234,.303,.398,.702,10,10,R,B.Brieske(53)
145,145,Sep 10,@,HOU,W4-3,46,41,4,9,2,0,1,4,2,0,14,0,2,1,0,2,1,0,.234,.303,.398,.701,9,12,R,S.Arrighetti(58)
146,146,Sep 11,@,HOU,W5-4,40,37,5,10,1,0,1,5,2,0,10,1,0,0,0,0,2,0,.234,.303,.398,.701,8,10,R,H.Brown(35)
147,147,Sep 12,@,HOU,L3-6,36,34,3,7,3,0,2,3,2,0,10,0,0,0,1,1,1,0,.234,.303,.398,.701,6,11,L,F.Valdez(64)
148,148,Sep 13,@,CHW,W2-0,35,34,2,9,2,0,0,2,1,0,10,0,0,0,0,2,1,0,.234,.303,.398,.700,6,11,L,G.Crochet(56)
149,149,Sep 14,@,CHW,L6-7,44,37,6,11,2,0,0,5,6,0,10,1,0,0,0,1,1,0,.235,.303,.397,.701,11,9,R,C.Flexen(61)
150,150,Sep 15,@,CHW,L3-4,36,34,3,7,4,0,2,3,2,0,10,0,0,0,0,0,0,0,.234,.303,.398,.701,6,11,R,S.Burke(52)
151,151,Sep 16,@,CHC,L2-9,40,36,2,9,0,1,1,2,4,0,13,0,0,0,0,0,0,0,.235,.303,.398,.701,11,12,L,S.Imanaga(62)
152,152,Sep 17,@,CHC,W4-3,36,34,4,9,1,0,3,4,2,0,8,0,0,0,0,1,1,0,.235,.303,.399,.702,5,10,L,J.Wicks(39)
153,153,Sep 18,@,CHC,W5-3,39,34,5,9,1,0,1,5,4,0,7,0,1,0,0,1,1,1,.235,.304,.399,.703,7,11,L,J.Steele(52)
154,154,Sep 20,,NYY,L2-4,33,32,2,3,0,0,0,2,1,0,10,0,0,0,0,1,1,0,.234,.303,.397,.700,2,9,R,G.Cole(85)
155,155,Sep 21,,NYY,L0-10,31,30,0,5,1,0,0,0,1,0,8,0,0,0,0,1,1,0,.234,.302,.396,.698,4,12,L,C.Rodón(65)
156,156,Sep 22,,NYY,L4-7,38,34,4,7,2,0,0,4,4,0,10,0,0,0,0,0,0,0,.234,.302,.395,.697,7,14,R,L.Gil(44)
157,157,Sep 24,,TEX,W5-4,35,30,5,6,4,0,0,5,4,0,9,0,0,1,1,0,2,0,.233,.302,.395,.697,5,9,R,N.Eovaldi(59)
158,158,Sep 25,,TEX,L1-5,41,37,1,9,1,1,0,1,3,0,8,1,0,0,1,0,0,0,.233,.302,.394,.696,13,12,L,C.Bradford(46)
159,159,Sep 26,,TEX,W3-2,36,31,3,9,0,0,0,3,3,0,3,0,1,1,0,0,0,0,.234,.302,.394,.696,9,9,R,K.Rocker(40)
160,160,Sep 27,@,SEA,L0-2,34,32,0,5,1,0,0,0,2,0,14,0,0,0,0,0,1,0,.233,.302,.392,.694,7,10,R,B.Woo(68)
161,161,Sep 28,@,SEA,L6-7,44,39,6,10,1,0,3,6,4,0,11,1,0,0,0,1,0,0,.233,.302,.393,.695,9,12,R,E.Hancock(45)
162,162,Sep 29,@,SEA,L4-6,35,34,4,7,3,0,0,4,1,0,12,0,0,0,0,0,0,0,.233,.301,.393,.694,4,11,R,L.Gilbert(74)
